Sample	Accession	Field[processed data file]	Field[processed data file]	Field[processed data file]
O24	GSM4231713	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O31	GSM4231715	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O32	GSM4231716	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O36	GSM4231719	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O39	GSM4231720	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O41	GSM4231721	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O44	GSM4231722	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O46	GSM4231723	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O47	GSM4231724	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O48	GSM4231725	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O49	GSM4231726	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O52	GSM4747564	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O54	GSM4231727	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O55	GSM4231728	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O56	GSM4231729	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O58	GSM4231730	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O60	GSM4231732	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O61	GSM4231733	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O62	GSM4231734	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O65	GSM4231735	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O66	GSM4231736	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O71	GSM4747565	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O73	GSM4231737	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O76	GSM4231738	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O78	GSM4231739	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O80	GSM4747566	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O87	GSM4747567	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O89	GSM4231740	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O90	GSM4747568	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O100	GSM4231741	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O102	GSM4231742	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O103	GSM4231743	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O104	GSM4747569	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O106	GSM4747570	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
