source_label,level,target_name,n_cells,group_purity,target_purity,f1,mean_boot,median_boot
Htr3a-OLM,class,07 CTX-MGE GABA,22,0.9565217391304348,0.4888888888888889,0.6470588235294117,0.9904545454545454,1.0
Htr3a-OLM,class,19 MB Glut,1,0.043478260869565216,1.0,0.08333333333333333,0.3,0.3
Sst-OLM,class,07 CTX-MGE GABA,23,1.0,0.5111111111111111,0.676470588235294,1.0,1.0
Htr3a-OLM,subclass,053 Sst Gaba,22,0.9565217391304348,0.4888888888888889,0.6470588235294117,0.9995454545454545,1.0
Htr3a-OLM,subclass,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,1,0.043478260869565216,1.0,0.08333333333333333,0.75,0.75
Sst-OLM,subclass,053 Sst Gaba,23,1.0,0.5111111111111111,0.676470588235294,0.9991304347826088,1.0
Htr3a-OLM,supertype,0216 Sst Gaba_3,21,0.9130434782608695,0.4883720930232558,0.6363636363636364,0.9842857142857143,1.0
Htr3a-OLM,supertype,0226 Sst Gaba_13,1,0.043478260869565216,1.0,0.08333333333333333,0.56,0.56
Htr3a-OLM,supertype,0722 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,1,0.043478260869565216,1.0,0.08333333333333333,0.64,0.64
Sst-OLM,supertype,0216 Sst Gaba_3,22,0.9565217391304348,0.5116279069767442,0.6666666666666667,0.9868181818181818,1.0
Sst-OLM,supertype,0223 Sst Gaba_10,1,0.043478260869565216,1.0,0.08333333333333333,0.64,0.64
Htr3a-OLM,cluster,0767 Sst Gaba_3,1,0.043478260869565216,0.2,0.07142857142857142,0.8,0.8
Htr3a-OLM,cluster,0768 Sst Gaba_3,12,0.5217391304347826,0.5454545454545454,0.5333333333333332,0.8491666666666666,0.915
Htr3a-OLM,cluster,0771 Sst Gaba_3,2,0.08695652173913043,0.5,0.14814814814814817,0.8600000000000001,0.8600000000000001
Htr3a-OLM,cluster,0772 Sst Gaba_3,3,0.13043478260869565,0.42857142857142855,0.2,0.8566666666666666,0.98
Htr3a-OLM,cluster,0773 Sst Gaba_3,1,0.043478260869565216,1.0,0.08333333333333333,0.61,0.61
Htr3a-OLM,cluster,0774 Sst Gaba_3,2,0.08695652173913043,0.5,0.14814814814814817,0.9099999999999999,0.9099999999999999
Htr3a-OLM,cluster,0810 Sst Gaba_13,1,0.043478260869565216,1.0,0.08333333333333333,0.56,0.56
Htr3a-OLM,cluster,2966 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,1,0.043478260869565216,1.0,0.08333333333333333,0.63,0.63
Sst-OLM,cluster,0767 Sst Gaba_3,4,0.17391304347826086,0.8,0.2857142857142857,0.9875,0.99
Sst-OLM,cluster,0768 Sst Gaba_3,10,0.43478260869565216,0.45454545454545453,0.4444444444444445,0.875,1.0
Sst-OLM,cluster,0771 Sst Gaba_3,2,0.08695652173913043,0.5,0.14814814814814817,0.775,0.775
Sst-OLM,cluster,0772 Sst Gaba_3,4,0.17391304347826086,0.5714285714285714,0.26666666666666666,0.75,0.735
Sst-OLM,cluster,0774 Sst Gaba_3,2,0.08695652173913043,0.5,0.14814814814814817,0.87,0.87
Sst-OLM,cluster,0802 Sst Gaba_10,1,0.043478260869565216,1.0,0.08333333333333333,0.62,0.62
