# metadata = mmc_extended.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_SUPT", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "supertype", "cluster"]
# algorithm: 'hierarchical'; codebase: http://github.com/AllenInstitute/cell_type_mapper; version: 1.7.1
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
H2,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,0.5100
H6,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0772,0772 Sst Gaba_3,543,0.5900
H9,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0774,0774 Sst Gaba_3,545,0.9700
H11,CS20230722_CLAS_07,07 CTX-MGE GABA,0.9900,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0773,0773 Sst Gaba_3,544,0.6100
H12,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,1.0000
H16,CS20230722_CLAS_07,07 CTX-MGE GABA,0.9400,CS20230722_SUBC_053,053 Sst Gaba,0.9900,CS20230722_SUPT_0216,0216 Sst Gaba_3,0.8600,CS20230722_CLUS_0774,0774 Sst Gaba_3,545,0.8500
H20,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,1.0000
H22,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0767,0767 Sst Gaba_3,533,0.8000
H26,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,0.8300
H30,CS20230722_CLAS_19,19 MB Glut,0.3000,CS20230722_SUBC_168,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,0.7500,CS20230722_SUPT_0722,0722 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,0.6400,CS20230722_CLUS_2966,2966 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_5,4769,0.6300
H31,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,1.0000
H32,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,0.9100,CS20230722_CLUS_0771,0771 Sst Gaba_3,542,0.7900
H33,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,0.6200
H35,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,0.7100
H38,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,1.0000
H39,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0772,0772 Sst Gaba_3,543,1.0000
H42,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,0.9300,CS20230722_CLUS_0771,0771 Sst Gaba_3,542,0.9300
H46,CS20230722_CLAS_07,07 CTX-MGE GABA,0.9900,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0772,0772 Sst Gaba_3,543,0.9800
H48,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0226,0226 Sst Gaba_13,0.5600,CS20230722_CLUS_0810,0810 Sst Gaba_13,495,0.5600
H52,CS20230722_CLAS_07,07 CTX-MGE GABA,0.8700,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,0.9700,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,0.6900
H53,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,1.0000
H57,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,0.8300
H60,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,1.0000
