# metadata = result.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_SUPT", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "supertype", "cluster"]
# algorithm: 'hierarchical'; codebase: http://github.com/AllenInstitute/cell_type_mapper; version: 1.7.1
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
Kevontae,CS20230722_CLAS_06,06 CTX-CGE GABA,0.8300,CS20230722_SUBC_046,046 Vip Gaba,0.9000,CS20230722_SUPT_0173,0173 Vip Gaba_1,1.0000,CS20230722_CLUS_0624,0624 Vip Gaba_1,667,0.5900
Krishav,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_046,046 Vip Gaba,0.8000,CS20230722_SUPT_0173,0173 Vip Gaba_1,0.8900,CS20230722_CLUS_0623,0623 Vip Gaba_1,649,0.8800
Zinachidi,CS20230722_CLAS_06,06 CTX-CGE GABA,0.8300,CS20230722_SUBC_046,046 Vip Gaba,0.6800,CS20230722_SUPT_0173,0173 Vip Gaba_1,0.9900,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,0.9600
Eliott,CS20230722_CLAS_06,06 CTX-CGE GABA,0.4700,CS20230722_SUBC_046,046 Vip Gaba,0.9200,CS20230722_SUPT_0173,0173 Vip Gaba_1,1.0000,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,1.0000
Fitzgerald,CS20230722_CLAS_06,06 CTX-CGE GABA,0.5500,CS20230722_SUBC_046,046 Vip Gaba,0.8800,CS20230722_SUPT_0173,0173 Vip Gaba_1,0.9700,CS20230722_CLUS_0624,0624 Vip Gaba_1,667,0.5400
Kamaria,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9600,CS20230722_SUBC_046,046 Vip Gaba,0.6400,CS20230722_SUPT_0173,0173 Vip Gaba_1,0.7300,CS20230722_CLUS_0623,0623 Vip Gaba_1,649,0.9300
Hatch,CS20230722_CLAS_06,06 CTX-CGE GABA,0.8300,CS20230722_SUBC_046,046 Vip Gaba,0.9600,CS20230722_SUPT_0173,0173 Vip Gaba_1,1.0000,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,0.9900
Nana,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_046,046 Vip Gaba,0.9900,CS20230722_SUPT_0173,0173 Vip Gaba_1,1.0000,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,1.0000
Bindi,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9700,CS20230722_SUBC_046,046 Vip Gaba,0.9100,CS20230722_SUPT_0173,0173 Vip Gaba_1,0.9700,CS20230722_CLUS_0624,0624 Vip Gaba_1,667,0.8800
Avalyn,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_046,046 Vip Gaba,0.7200,CS20230722_SUPT_0173,0173 Vip Gaba_1,0.9900,CS20230722_CLUS_0623,0623 Vip Gaba_1,649,1.0000
Clay,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9700,CS20230722_SUBC_046,046 Vip Gaba,0.8700,CS20230722_SUPT_0173,0173 Vip Gaba_1,1.0000,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,1.0000
Jerel,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9000,CS20230722_SUBC_046,046 Vip Gaba,0.9800,CS20230722_SUPT_0173,0173 Vip Gaba_1,1.0000,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,1.0000
Arena,CS20230722_CLAS_06,06 CTX-CGE GABA,0.8600,CS20230722_SUBC_046,046 Vip Gaba,0.9700,CS20230722_SUPT_0173,0173 Vip Gaba_1,1.0000,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,1.0000
Naimah,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9600,CS20230722_SUBC_046,046 Vip Gaba,0.9700,CS20230722_SUPT_0173,0173 Vip Gaba_1,1.0000,CS20230722_CLUS_0624,0624 Vip Gaba_1,667,0.5800
Davier,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9900,CS20230722_SUBC_046,046 Vip Gaba,0.9700,CS20230722_SUPT_0173,0173 Vip Gaba_1,1.0000,CS20230722_CLUS_0624,0624 Vip Gaba_1,667,0.7600
Naydeen,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9300,CS20230722_SUBC_046,046 Vip Gaba,1.0000,CS20230722_SUPT_0173,0173 Vip Gaba_1,0.9800,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,1.0000
Ajanae,CS20230722_CLAS_06,06 CTX-CGE GABA,0.7400,CS20230722_SUBC_046,046 Vip Gaba,0.8800,CS20230722_SUPT_0173,0173 Vip Gaba_1,1.0000,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,1.0000
Saran,CS20230722_CLAS_06,06 CTX-CGE GABA,0.7800,CS20230722_SUBC_046,046 Vip Gaba,0.8700,CS20230722_SUPT_0173,0173 Vip Gaba_1,1.0000,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,0.5300
Ahmet,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_046,046 Vip Gaba,0.9700,CS20230722_SUPT_0173,0173 Vip Gaba_1,1.0000,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,1.0000
Treyveon,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_046,046 Vip Gaba,1.0000,CS20230722_SUPT_0173,0173 Vip Gaba_1,0.8900,CS20230722_CLUS_0623,0623 Vip Gaba_1,649,0.9900
Chynna,CS20230722_CLAS_06,06 CTX-CGE GABA,0.8600,CS20230722_SUBC_046,046 Vip Gaba,0.9400,CS20230722_SUPT_0173,0173 Vip Gaba_1,1.0000,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,0.9900
Catherin,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9100,CS20230722_SUBC_046,046 Vip Gaba,0.9800,CS20230722_SUPT_0173,0173 Vip Gaba_1,1.0000,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,1.0000
Melis,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9200,CS20230722_SUBC_046,046 Vip Gaba,0.9600,CS20230722_SUPT_0173,0173 Vip Gaba_1,1.0000,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,0.5800
Elysium,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9700,CS20230722_SUBC_046,046 Vip Gaba,0.9800,CS20230722_SUPT_0173,0173 Vip Gaba_1,0.9800,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,1.0000
Evlynn,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_047,047 Sncg Gaba,0.5700,CS20230722_SUPT_0187,0187 Sncg Gaba_3,1.0000,CS20230722_CLUS_0674,0674 Sncg Gaba_3,641,0.5400
Eliaz,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9600,CS20230722_SUBC_046,046 Vip Gaba,0.8800,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.7100,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,0.9700
