source_label,level,target_name,n_cells,group_purity,target_purity,f1,mean_boot,median_boot
Cacna2d1.Lhx6.Reln,class,06 CTX-CGE GABA,3,0.01764705882352941,0.0017261219792865361,0.003144654088050314,0.8566666666666668,0.86
Cacna2d1.Lhx6.Reln,class,07 CTX-MGE GABA,167,0.9823529411764705,0.10872395833333333,0.1957796014067995,0.9191017964071857,0.93
Cacna2d1.Lhx6.Vwa5a,class,06 CTX-CGE GABA,4,0.12121212121212122,0.0023014959723820483,0.004517221908526256,0.9,0.895
Cacna2d1.Lhx6.Vwa5a,class,07 CTX-MGE GABA,29,0.8787878787878788,0.018880208333333332,0.036966220522625874,0.903103448275862,0.91
Cacna2d1.Ndnf.Cxcl14,class,06 CTX-CGE GABA,47,1.0,0.02704257767548907,0.052661064425770315,0.975531914893617,0.99
Cacna2d1.Ndnf.Npy,class,06 CTX-CGE GABA,81,1.0,0.04660529344073648,0.08905992303463443,0.9795061728395063,0.99
Cacna2d1.Ndnf.Rgs10,class,06 CTX-CGE GABA,104,1.0,0.05983889528193326,0.11292073832790445,0.9800961538461538,0.99
Calb2.Cntnap5a.Igfbp6,class,06 CTX-CGE GABA,21,1.0,0.012082853855005753,0.023877202956225127,0.9376190476190477,0.96
Calb2.Cntnap5a.Rspo3,class,06 CTX-CGE GABA,48,1.0,0.02761795166858458,0.05375139977603583,0.9579166666666666,0.97
Calb2.Cntnap5a.Vip,class,06 CTX-CGE GABA,47,1.0,0.02704257767548907,0.052661064425770315,0.9629787234042553,0.98
Calb2.Cryab,class,03 OB-CR Glut,3,0.06666666666666667,1.0,0.125,0.9500000000000001,0.97
Calb2.Cryab,class,06 CTX-CGE GABA,42,0.9333333333333333,0.024165707710011506,0.04711160964666292,0.9545238095238094,0.98
Calb2.Vip.Gpd1,class,02 NP-CT-L6b Glut,1,0.008547008547008548,1.0,0.016949152542372885,0.83,0.83
Calb2.Vip.Gpd1,class,06 CTX-CGE GABA,116,0.9914529914529915,0.0667433831990794,0.1250673854447439,0.9788793103448276,1.0
Calb2.Vip.Igfbp4,class,06 CTX-CGE GABA,98,1.0,0.05638665132336018,0.10675381263616557,0.9871428571428571,1.0
Calb2.Vip.Nos1,class,06 CTX-CGE GABA,58,1.0,0.0333716915995397,0.06458797327394208,0.9825862068965517,0.99
Cck.Calca,class,06 CTX-CGE GABA,31,1.0,0.017836593785960874,0.035048049745618995,0.9977419354838709,1.0
Cck.Cxcl14.Calb1.Igfbp5,class,06 CTX-CGE GABA,72,1.0,0.04142692750287687,0.07955801104972375,0.9972222222222222,1.0
Cck.Cxcl14.Calb1.Kctd12,class,06 CTX-CGE GABA,48,1.0,0.02761795166858458,0.05375139977603583,1.0,1.0
Cck.Cxcl14.Calb1.Tac2,class,06 CTX-CGE GABA,36,1.0,0.020713463751438434,0.040586245772266064,0.9994444444444444,1.0
Cck.Cxcl14.Calb1.Tnfaip8l3,class,06 CTX-CGE GABA,117,1.0,0.06731875719217491,0.12614555256064688,0.997948717948718,1.0
Cck.Cxcl14.Slc17a8,class,06 CTX-CGE GABA,117,1.0,0.06731875719217491,0.12614555256064688,0.9993162393162394,1.0
Cck.Cxcl14.Vip,class,06 CTX-CGE GABA,72,1.0,0.04142692750287687,0.07955801104972375,0.9977777777777779,1.0
Cck.Lmo1.Npy,class,06 CTX-CGE GABA,64,1.0,0.03682393555811277,0.07103218645948946,0.99546875,1.0
Cck.Lmo1.Vip.Crh,class,06 CTX-CGE GABA,60,1.0,0.03452243958573072,0.06674082313681869,0.9885,1.0
Cck.Lmo1.Vip.Fam19a2,class,06 CTX-CGE GABA,58,1.0,0.0333716915995397,0.06458797327394208,0.9958620689655172,1.0
Cck.Lmo1.Vip.Tac2,class,06 CTX-CGE GABA,48,1.0,0.02761795166858458,0.05375139977603583,0.9960416666666667,1.0
Cck.Lypd1,class,06 CTX-CGE GABA,15,1.0,0.00863060989643268,0.017113519680547633,0.9966666666666666,1.0
Cck.Sema5a,class,06 CTX-CGE GABA,70,1.0,0.04027617951668585,0.07743362831858407,0.9824285714285713,1.0
Ntng1.Chrm2,class,06 CTX-CGE GABA,68,0.9855072463768116,0.039125431530494824,0.0752628666297731,0.9838235294117648,1.0
Ntng1.Chrm2,class,10 LSX GABA,1,0.014492753623188406,1.0,0.02857142857142857,0.96,0.96
Ntng1.Rgs10,class,06 CTX-CGE GABA,68,1.0,0.039125431530494824,0.0753045404208195,0.9886764705882354,1.0
Ntng1.Synpr,class,06 CTX-CGE GABA,45,1.0,0.025891829689298044,0.050476724621424565,0.99,1.0
Pvalb.C1ql1.Cpne5,class,07 CTX-MGE GABA,52,1.0,0.033854166666666664,0.0654911838790932,0.9311538461538462,0.95
Pvalb.C1ql1.Npy,class,07 CTX-MGE GABA,27,1.0,0.017578125,0.0345489443378119,0.9544444444444444,0.98
Pvalb.C1ql1.Pvalb,class,07 CTX-MGE GABA,110,1.0,0.07161458333333333,0.1336573511543135,0.986,1.0
Pvalb.Tac1.Akr1c18,class,07 CTX-MGE GABA,56,1.0,0.036458333333333336,0.07035175879396986,0.9973214285714286,1.0
Pvalb.Tac1.Nr4a2,class,07 CTX-MGE GABA,42,1.0,0.02734375,0.053231939163498096,0.9485714285714286,0.965
Pvalb.Tac1.Sst,class,07 CTX-MGE GABA,66,0.9850746268656716,0.04296875,0.08234560199625701,0.9786363636363636,0.99
Pvalb.Tac1.Sst,class,08 CNU-MGE GABA,1,0.014925373134328358,0.02702702702702703,0.01923076923076923,1.0,1.0
Pvalb.Tac1.Syt2,class,07 CTX-MGE GABA,80,1.0,0.052083333333333336,0.09900990099009901,0.985375,1.0
Sst.Cryab,class,01 IT-ET Glut,1,0.06666666666666667,1.0,0.125,0.94,0.94
Sst.Cryab,class,06 CTX-CGE GABA,11,0.7333333333333333,0.006329113924050633,0.012549914432401598,0.9318181818181818,0.97
Sst.Cryab,class,07 CTX-MGE GABA,3,0.2,0.001953125,0.0038684719535783366,0.9533333333333333,0.96
Sst.Erbb4.Crh,class,07 CTX-MGE GABA,19,1.0,0.012369791666666666,0.024437299035369772,0.9384210526315788,0.96
Sst.Erbb4.Rgs10,class,07 CTX-MGE GABA,20,1.0,0.013020833333333334,0.025706940874035994,0.9545,0.985
Sst.Erbb4.Th,class,07 CTX-MGE GABA,25,1.0,0.016276041666666668,0.032030749519538756,0.9448000000000001,0.95
Sst.Nos1,class,08 CNU-MGE GABA,33,1.0,0.8918918918918919,0.9428571428571428,0.9896969696969696,1.0
Sst.Npy.Cort,class,07 CTX-MGE GABA,63,0.984375,0.041015625,0.07875,0.9761904761904762,1.0
Sst.Npy.Cort,class,08 CNU-MGE GABA,1,0.015625,0.02702702702702703,0.019801980198019802,0.83,0.83
Sst.Npy.Mgat4c,class,07 CTX-MGE GABA,61,1.0,0.039713541666666664,0.07639323731997494,0.9904918032786886,1.0
Sst.Npy.Serpine2,class,07 CTX-MGE GABA,165,1.0,0.107421875,0.19400352733686066,0.9827878787878788,1.0
Sst.Npy.Zbtb20,class,07 CTX-MGE GABA,59,0.9516129032258065,0.038411458333333336,0.07384230287859825,0.964406779661017,0.99
Sst.Npy.Zbtb20,class,08 CNU-MGE GABA,2,0.03225806451612903,0.05405405405405406,0.04040404040404041,0.89,0.89
Sst.Npy.Zbtb20,class,30 Astro-Epen,1,0.016129032258064516,1.0,0.031746031746031744,0.9,0.9
Sst.Pnoc.Calb1.Igfbp5,class,07 CTX-MGE GABA,254,1.0,0.16536458333333334,0.2837988826815643,0.9779133858267716,0.99
Sst.Pnoc.Calb1.Pvalb,class,07 CTX-MGE GABA,153,1.0,0.099609375,0.1811722912966252,0.9868627450980393,1.0
Sst.Pnoc.Pvalb,class,07 CTX-MGE GABA,85,1.0,0.055338541666666664,0.10487353485502775,0.9752941176470589,0.99
Vip.Crh.C1ql1,class,06 CTX-CGE GABA,17,1.0,0.009781357882623706,0.019373219373219373,0.98,0.99
Vip.Crh.Pcp4,class,06 CTX-CGE GABA,52,0.9811320754716981,0.02991944764096663,0.05806811836962591,0.9890384615384615,1.0
Vip.Crh.Pcp4,class,09 CNU-LGE GABA,1,0.018867924528301886,1.0,0.037037037037037035,0.89,0.89
Cacna2d1.Lhx6.Reln,subclass,049 Lamp5 Gaba,15,0.05725190839694656,0.05172413793103448,0.05434782608695651,0.988,1.0
Cacna2d1.Lhx6.Reln,subclass,050 Lamp5 Lhx6 Gaba,245,0.9351145038167938,0.7379518072289156,0.8249158249158248,0.9989387755102042,1.0
Cacna2d1.Lhx6.Reln,subclass,319 Astro-TE NN,2,0.007633587786259542,0.25,0.014814814814814814,0.995,0.995
Cacna2d1.Lhx6.Vwa5a,subclass,049 Lamp5 Gaba,14,0.16279069767441862,0.04827586206896552,0.07446808510638298,0.9942857142857143,1.0
Cacna2d1.Lhx6.Vwa5a,subclass,050 Lamp5 Lhx6 Gaba,72,0.8372093023255814,0.21686746987951808,0.3444976076555024,0.9977777777777779,1.0
Cacna2d1.Ndnf.Cxcl14,subclass,049 Lamp5 Gaba,46,1.0,0.15862068965517243,0.2738095238095238,0.9728260869565217,1.0
Cacna2d1.Ndnf.Npy,subclass,049 Lamp5 Gaba,85,1.0,0.29310344827586204,0.4533333333333333,0.9987058823529412,1.0
Cacna2d1.Ndnf.Rgs10,subclass,049 Lamp5 Gaba,105,0.9905660377358491,0.3620689655172414,0.5303030303030303,0.9987619047619049,1.0
Cacna2d1.Ndnf.Rgs10,subclass,319 Astro-TE NN,1,0.009433962264150943,0.125,0.017543859649122806,1.0,1.0
Calb2.Cntnap5a.Igfbp6,subclass,046 Vip Gaba,20,1.0,0.04246284501061571,0.0814663951120163,0.945,0.965
Calb2.Cntnap5a.Rspo3,subclass,046 Vip Gaba,42,1.0,0.08917197452229299,0.16374269005847952,0.944047619047619,0.95
Calb2.Cntnap5a.Vip,subclass,046 Vip Gaba,42,1.0,0.08917197452229299,0.16374269005847952,0.9521428571428572,0.975
Calb2.Cryab,subclass,036 HPF CR Glut,3,0.08571428571428572,1.0,0.15789473684210528,1.0,1.0
Calb2.Cryab,subclass,046 Vip Gaba,11,0.3142857142857143,0.02335456475583864,0.043478260869565216,0.9072727272727273,0.91
Calb2.Cryab,subclass,047 Sncg Gaba,2,0.05714285714285714,0.0036101083032490976,0.006791171477079796,0.87,0.87
Calb2.Cryab,subclass,049 Lamp5 Gaba,19,0.5428571428571428,0.06551724137931035,0.11692307692307692,0.9005263157894736,0.9
Calb2.Vip.Gpd1,subclass,033 NP SUB Glut,1,0.008333333333333333,1.0,0.01652892561983471,0.87,0.87
Calb2.Vip.Gpd1,subclass,046 Vip Gaba,119,0.9916666666666667,0.2526539278131635,0.4027072758037225,0.9865546218487395,1.0
Calb2.Vip.Igfbp4,subclass,046 Vip Gaba,98,1.0,0.208067940552017,0.3444639718804921,0.9798979591836735,0.99
Calb2.Vip.Nos1,subclass,046 Vip Gaba,58,1.0,0.12314225053078556,0.21928166351606806,0.9898275862068965,1.0
Cck.Calca,subclass,047 Sncg Gaba,13,0.5652173913043478,0.023465703971119134,0.045060658578856154,0.9400000000000001,0.94
Cck.Calca,subclass,048 RHP-COA Ndnf Gaba,10,0.43478260869565216,0.03205128205128205,0.059701492537313425,0.9189999999999999,0.9299999999999999
Cck.Cxcl14.Calb1.Igfbp5,subclass,047 Sncg Gaba,57,0.95,0.10288808664259928,0.18566775244299677,0.9752631578947368,1.0
Cck.Cxcl14.Calb1.Igfbp5,subclass,048 RHP-COA Ndnf Gaba,3,0.05,0.009615384615384616,0.016129032258064516,0.87,0.85
Cck.Cxcl14.Calb1.Kctd12,subclass,047 Sncg Gaba,46,1.0,0.08303249097472924,0.15333333333333332,0.9971739130434782,1.0
Cck.Cxcl14.Calb1.Tac2,subclass,047 Sncg Gaba,35,1.0,0.0631768953068592,0.11884550084889643,0.9977142857142858,1.0
Cck.Cxcl14.Calb1.Tnfaip8l3,subclass,047 Sncg Gaba,48,0.6233766233766234,0.08664259927797834,0.15213946117274166,0.9660416666666666,0.99
Cck.Cxcl14.Calb1.Tnfaip8l3,subclass,048 RHP-COA Ndnf Gaba,29,0.37662337662337664,0.09294871794871795,0.14910025706940874,0.9389655172413793,0.95
Cck.Cxcl14.Slc17a8,subclass,047 Sncg Gaba,119,1.0,0.2148014440433213,0.3536404160475483,0.9957983193277311,1.0
Cck.Cxcl14.Vip,subclass,046 Vip Gaba,2,0.030303030303030304,0.004246284501061571,0.0074487895716946004,0.9299999999999999,0.9299999999999999
Cck.Cxcl14.Vip,subclass,047 Sncg Gaba,64,0.9696969696969697,0.11552346570397112,0.2064516129032258,0.97453125,0.995
Cck.Lmo1.Npy,subclass,047 Sncg Gaba,46,0.9019607843137255,0.08303249097472924,0.15206611570247935,0.971304347826087,1.0
Cck.Lmo1.Npy,subclass,048 RHP-COA Ndnf Gaba,4,0.0784313725490196,0.01282051282051282,0.02203856749311295,0.9299999999999999,0.95
Cck.Lmo1.Npy,subclass,053 Sst Gaba,1,0.0196078431372549,0.0011049723756906078,0.002092050209205021,0.96,0.96
Cck.Lmo1.Vip.Crh,subclass,046 Vip Gaba,8,0.15384615384615385,0.016985138004246284,0.030592734225621414,0.94375,0.975
Cck.Lmo1.Vip.Crh,subclass,047 Sncg Gaba,44,0.8461538461538461,0.07942238267148015,0.14521452145214522,0.9754545454545455,0.995
Cck.Lmo1.Vip.Fam19a2,subclass,047 Sncg Gaba,37,0.9024390243902439,0.06678700361010831,0.12436974789915968,0.9581081081081082,0.99
Cck.Lmo1.Vip.Fam19a2,subclass,048 RHP-COA Ndnf Gaba,4,0.0975609756097561,0.01282051282051282,0.0226628895184136,0.8925000000000001,0.895
Cck.Lmo1.Vip.Tac2,subclass,046 Vip Gaba,1,0.023255813953488372,0.0021231422505307855,0.0038910505836575876,0.99,0.99
Cck.Lmo1.Vip.Tac2,subclass,047 Sncg Gaba,40,0.9302325581395349,0.07220216606498195,0.13400335008375208,0.98225,1.0
Cck.Lmo1.Vip.Tac2,subclass,048 RHP-COA Ndnf Gaba,1,0.023255813953488372,0.003205128205128205,0.005633802816901409,0.95,0.95
Cck.Lmo1.Vip.Tac2,subclass,319 Astro-TE NN,1,0.023255813953488372,0.125,0.03921568627450981,1.0,1.0
Cck.Lypd1,subclass,048 RHP-COA Ndnf Gaba,15,1.0,0.04807692307692308,0.09174311926605505,0.9766666666666667,0.99
Cck.Sema5a,subclass,048 RHP-COA Ndnf Gaba,65,1.0,0.20833333333333334,0.3448275862068966,0.9792307692307692,0.99
Ntng1.Chrm2,subclass,048 RHP-COA Ndnf Gaba,71,1.0,0.22756410256410256,0.37075718015665793,0.9966197183098592,1.0
Ntng1.Rgs10,subclass,048 RHP-COA Ndnf Gaba,68,1.0,0.21794871794871795,0.3578947368421052,0.9891176470588237,1.0
Ntng1.Synpr,subclass,046 Vip Gaba,2,0.045454545454545456,0.004246284501061571,0.0077669902912621365,0.9450000000000001,0.9450000000000001
Ntng1.Synpr,subclass,047 Sncg Gaba,1,0.022727272727272728,0.0018050541516245488,0.0033444816053511705,0.87,0.87
Ntng1.Synpr,subclass,048 RHP-COA Ndnf Gaba,41,0.9318181818181818,0.13141025641025642,0.23033707865168537,0.9875609756097562,1.0
Pvalb.C1ql1.Cpne5,subclass,051 Pvalb chandelier Gaba,61,1.0,0.3860759493670886,0.5570776255707762,0.9627868852459016,0.98
