source_label,level,target_name,n_cells,coverage,purity,f1,mean_boot,median_boot
GABA-1-Foxp2_Fmod,class,09 CNU-LGE GABA,29,1.0,0.06839622641509434,0.1280353200883002,0.9875862068965517,1.0
GABA-10-Prkcd-Adora2a,class,11 CNU-HYa GABA,3,1.0,0.002183406113537118,0.004357298474945534,0.9666666666666667,0.97
GABA-11-Adora2a-Id4,class,09 CNU-LGE GABA,5,0.16129032258064516,0.01179245283018868,0.02197802197802198,0.9460000000000001,0.95
GABA-11-Adora2a-Id4,class,11 CNU-HYa GABA,25,0.8064516129032258,0.018195050946142648,0.03558718861209964,0.9184,0.92
GABA-11-Adora2a-Id4,class,13 CNU-HYa Glut,1,0.03225806451612903,0.0009328358208955224,0.0018132366273798729,0.96,0.96
GABA-12-Adora2a-Scn4b,class,09 CNU-LGE GABA,51,0.9622641509433962,0.12028301886792453,0.2138364779874214,0.9637254901960784,0.98
GABA-12-Adora2a-Scn4b,class,11 CNU-HYa GABA,2,0.03773584905660377,0.001455604075691412,0.0028030833917309043,0.895,0.895
GABA-13-Adora2a-Crh,class,09 CNU-LGE GABA,16,1.0,0.03773584905660377,0.07272727272727272,0.99,1.0
GABA-14-Drd1-Scn4b,class,09 CNU-LGE GABA,28,1.0,0.0660377358490566,0.1238938053097345,0.9921428571428572,1.0
GABA-15-Drd1-Ebf1,class,09 CNU-LGE GABA,10,0.9090909090909091,0.02358490566037736,0.04597701149425288,0.944,0.945
GABA-15-Drd1-Ebf1,class,11 CNU-HYa GABA,1,0.09090909090909091,0.000727802037845706,0.001444043321299639,0.81,0.81
GABA-16-Prkcd-Nts,class,11 CNU-HYa GABA,43,1.0,0.03129548762736536,0.06069160197600564,0.9990697674418605,1.0
GABA-17-Pdyn-Ebf1,class,11 CNU-HYa GABA,71,1.0,0.05167394468704512,0.09826989619377162,0.9925352112676056,1.0
GABA-18-Isl1-Tac1,class,11 CNU-HYa GABA,23,1.0,0.016739446870451237,0.0329277022190408,0.9908695652173912,1.0
GABA-19-Isl1-Aldoc,class,11 CNU-HYa GABA,90,1.0,0.06550218340611354,0.12295081967213115,0.9742222222222221,0.99
GABA-2-Foxp2_Adra2a,class,09 CNU-LGE GABA,92,1.0,0.2169811320754717,0.3565891472868217,0.9584782608695651,0.97
GABA-20-Gpr101-Gabre,class,11 CNU-HYa GABA,15,1.0,0.010917030567685589,0.02159827213822894,0.9586666666666666,0.98
GABA-21-Vdr-Nts,class,11 CNU-HYa GABA,11,1.0,0.008005822416302766,0.01588447653429603,0.9745454545454546,1.0
GABA-22-Gal-Avp,class,11 CNU-HYa GABA,30,1.0,0.021834061135371178,0.042735042735042736,0.977,1.0
GABA-23-Fign-Lrpprc,class,11 CNU-HYa GABA,44,1.0,0.03202328966521106,0.06205923836389281,0.9531818181818181,0.97
GABA-24-Fign-Ucn3,class,11 CNU-HYa GABA,33,1.0,0.024017467248908297,0.046908315565031986,0.9854545454545456,1.0
GABA-25-Lhx8-Th,class,08 CNU-MGE GABA,47,0.8545454545454545,0.29936305732484075,0.44339622641509435,0.9823404255319149,1.0
GABA-25-Lhx8-Th,class,11 CNU-HYa GABA,8,0.14545454545454545,0.005822416302765648,0.011196641007697692,0.98625,0.99
GABA-26-Cbln4-Sst,class,11 CNU-HYa GABA,23,1.0,0.016739446870451237,0.0329277022190408,0.9786956521739131,0.99
GABA-27-Lhx6-Nxph2,class,08 CNU-MGE GABA,3,0.03296703296703297,0.01910828025477707,0.024193548387096774,0.8966666666666666,0.91
GABA-27-Lhx6-Nxph2,class,11 CNU-HYa GABA,88,0.967032967032967,0.06404657933042213,0.12013651877133105,0.96375,0.99
GABA-28-Cbln4-Luzp2,class,11 CNU-HYa GABA,16,1.0,0.011644832605531296,0.02302158273381295,0.98125,0.985
GABA-29-Prlr-Greb1,class,11 CNU-HYa GABA,56,1.0,0.040756914119359534,0.07832167832167831,0.9953571428571429,1.0
GABA-3-Foxp2_Col6a1,class,09 CNU-LGE GABA,165,0.9821428571428571,0.3891509433962264,0.5574324324324325,0.9614545454545453,0.98
GABA-3-Foxp2_Col6a1,class,11 CNU-HYa GABA,2,0.011904761904761904,0.001455604075691412,0.002594033722438392,0.905,0.905
GABA-3-Foxp2_Col6a1,class,13 CNU-HYa Glut,1,0.005952380952380952,0.0009328358208955224,0.0016129032258064516,0.86,0.86
GABA-30-Prlr-Calcr,class,11 CNU-HYa GABA,47,1.0,0.03420669577874818,0.06615059817030261,0.9861702127659575,1.0
GABA-31-Prlr-Cbln1,class,11 CNU-HYa GABA,17,1.0,0.012372634643377001,0.024442846872753415,0.998235294117647,1.0
GABA-32-Prlr-Tac1,class,11 CNU-HYa GABA,85,1.0,0.06186317321688501,0.11651816312542837,0.9907058823529411,1.0
GABA-33-Prlr-St18,class,08 CNU-MGE GABA,1,0.015873015873015872,0.006369426751592357,0.009090909090909092,0.97,0.97
GABA-33-Prlr-St18,class,11 CNU-HYa GABA,62,0.9841269841269841,0.04512372634643377,0.08629088378566459,0.99,1.0
GABA-34-Prlr-Satb1,class,11 CNU-HYa GABA,8,1.0,0.005822416302765648,0.011577424023154849,0.93875,0.955
GABA-35-Chodl-Moxd1,class,07 CTX-MGE GABA,2,0.11764705882352941,0.007168458781362007,0.013513513513513514,0.9,0.9
GABA-35-Chodl-Moxd1,class,08 CNU-MGE GABA,1,0.058823529411764705,0.006369426751592357,0.011494252873563218,0.84,0.84
GABA-35-Chodl-Moxd1,class,11 CNU-HYa GABA,14,0.8235294117647058,0.010189228529839884,0.020129403306973402,0.9478571428571428,0.985
GABA-36-Sst-Fign,class,07 CTX-MGE GABA,8,0.2857142857142857,0.02867383512544803,0.05211726384364821,0.9425,0.94
