source_label,level,best_target,n_cells,coverage,purity,f1,median_boot
MC-01_Nefm_Tac2,class,11 CNU-HYa GABA,334,0.9226519337016574,0.2638230647709321,0.4103194103194104,1.0
MC-01_Nefm_Tac2,subclass,082 CEA-BST Ebf1 Pdyn Gaba,258,0.7107438016528925,0.3638928067700987,0.4813432835820896,1.0
MC-01_Nefm_Tac2,supertype,0388 CEA-BST Ebf1 Pdyn Gaba_5,51,0.16666666666666666,0.4722222222222222,0.24637681159420288,1.0
MC-01_Nefm_Tac2,cluster,1384 CEA-BST Ebf1 Pdyn Gaba_1,38,0.1589958158995816,0.34545454545454546,0.2177650429799427,1.0
MC-02_Sst_Pdyn_Crh,class,11 CNU-HYa GABA,19,0.95,0.015007898894154818,0.029548989113530325,1.0
MC-02_Sst_Pdyn_Crh,subclass,082 CEA-BST Ebf1 Pdyn Gaba,17,0.85,0.023977433004231313,0.04663923182441701,1.0
MC-02_Sst_Pdyn_Crh,supertype,0386 CEA-BST Ebf1 Pdyn Gaba_3,15,0.7894736842105263,0.1388888888888889,0.2362204724409449,1.0
MC-02_Sst_Pdyn_Crh,cluster,1391 CEA-BST Ebf1 Pdyn Gaba_3,7,0.4666666666666667,0.2413793103448276,0.3181818181818182,1.0
MC-03_Sst_Pdyn,class,11 CNU-HYa GABA,89,0.978021978021978,0.0703001579778831,0.131171702284451,1.0
MC-03_Sst_Pdyn,subclass,082 CEA-BST Ebf1 Pdyn Gaba,71,0.7717391304347826,0.1001410437235543,0.1772784019975031,1.0
MC-03_Sst_Pdyn,supertype,0386 CEA-BST Ebf1 Pdyn Gaba_3,47,0.573170731707317,0.4351851851851852,0.4947368421052631,1.0
MC-03_Sst_Pdyn,cluster,1393 CEA-BST Ebf1 Pdyn Gaba_3,23,0.359375,0.7931034482758621,0.4946236559139785,1.0
MC-05_MSN_Drd2Scn4b,class,09 CNU-LGE GABA,14,0.8235294117647058,0.14893617021276595,0.25225225225225223,0.995
MC-05_MSN_Drd2Scn4b,subclass,062 STR D2 Gaba,15,0.8333333333333334,0.13157894736842105,0.22727272727272727,1.0
MC-05_MSN_Drd2Scn4b,supertype,0274 STR D2 Gaba_1,14,0.7777777777777778,0.16091954022988506,0.26666666666666666,1.0
MC-05_MSN_Drd2Scn4b,cluster,0968 STR D2 Gaba_1,9,0.6923076923076923,0.21428571428571427,0.32727272727272727,1.0
MC-06_PKCd_Cartpt,class,11 CNU-HYa GABA,97,0.9797979797979798,0.07661927330173776,0.14212454212454212,0.99
MC-06_PKCd_Cartpt,subclass,079 CEA-BST Six3 Cyp26b1 Gaba,98,0.9423076923076923,0.21350762527233116,0.3481349911190053,1.0
MC-06_PKCd_Cartpt,supertype,0368 CEA-BST Six3 Cyp26b1 Gaba_2,93,0.8942307692307693,0.4793814432989691,0.6241610738255035,1.0
MC-06_PKCd_Cartpt,cluster,1332 CEA-BST Six3 Cyp26b1 Gaba_2,42,0.5384615384615384,0.6,0.5675675675675675,0.995
MC-07_AST_Drd1,class,11 CNU-HYa GABA,9,0.8181818181818182,0.0071090047393364926,0.014095536413469067,0.98
MC-07_AST_Drd1,subclass,082 CEA-BST Ebf1 Pdyn Gaba,5,0.5555555555555556,0.007052186177715092,0.013927576601671309,1.0
MC-07_AST_Drd1,supertype,0269 STR D1 Gaba_5,2,0.2222222222222222,0.3333333333333333,0.26666666666666666,1.0
MC-07_AST_Drd1,cluster,0245 LA-BLA-BMA-PA Glut_5,1,0.16666666666666666,0.1,0.125,1.0
MC-09_Gpx3_Gal,class,11 CNU-HYa GABA,25,0.8620689655172413,0.019747235387045814,0.03861003861003861,0.98
MC-09_Gpx3_Gal,subclass,082 CEA-BST Ebf1 Pdyn Gaba,10,0.3125,0.014104372355430184,0.02699055330634278,1.0
MC-09_Gpx3_Gal,supertype,0389 CEA-BST Ebf1 Pdyn Gaba_6,4,0.16666666666666666,0.08888888888888889,0.11594202898550726,0.975
MC-09_Gpx3_Gal,cluster,1403 CEA-BST Ebf1 Pdyn Gaba_6,4,0.2222222222222222,0.14285714285714285,0.17391304347826086,0.9550000000000001
