source_label,level,target_name,n_cells,group_purity,target_purity,f1,mean_boot,median_boot
AAC,class,07 CTX-MGE GABA,6,1.0,0.07894736842105263,0.14634146341463414,0.9783333333333334,1.0
hBC,class,07 CTX-MGE GABA,11,1.0,0.14473684210526316,0.2528735632183908,0.9972727272727273,1.0
hBIC,class,07 CTX-MGE GABA,10,1.0,0.13157894736842105,0.23255813953488372,0.983,1.0
vBC,class,07 CTX-MGE GABA,42,1.0,0.5526315789473685,0.711864406779661,0.9957142857142858,1.0
vBIC,class,07 CTX-MGE GABA,7,1.0,0.09210526315789473,0.1686746987951807,1.0,1.0
AAC,subclass,051 Pvalb chandelier Gaba,1,0.16666666666666666,0.5,0.25,1.0,1.0
AAC,subclass,052 Pvalb Gaba,5,0.8333333333333334,0.06666666666666667,0.1234567901234568,0.9960000000000001,1.0
hBC,subclass,052 Pvalb Gaba,11,0.9166666666666666,0.14666666666666667,0.25287356321839083,1.0,1.0
hBC,subclass,334 Microglia NN,1,0.08333333333333333,0.2,0.11764705882352941,1.0,1.0
hBIC,subclass,052 Pvalb Gaba,10,0.9090909090909091,0.13333333333333333,0.2325581395348837,0.9800000000000001,0.985
hBIC,subclass,319 Astro-TE NN,1,0.09090909090909091,0.5,0.15384615384615385,1.0,1.0
vBC,subclass,051 Pvalb chandelier Gaba,1,0.02127659574468085,0.5,0.04081632653061224,0.95,0.95
vBC,subclass,052 Pvalb Gaba,41,0.8723404255319149,0.5466666666666666,0.6721311475409836,0.9951219512195121,1.0
vBC,subclass,319 Astro-TE NN,1,0.02127659574468085,0.5,0.04081632653061224,0.99,0.99
vBC,subclass,334 Microglia NN,4,0.0851063829787234,0.8,0.15384615384615383,0.9975,1.0
vBIC,subclass,052 Pvalb Gaba,8,1.0,0.10666666666666667,0.1927710843373494,0.98875,1.0
AAC,supertype,0204 Pvalb chandelier Gaba_1,1,0.16666666666666666,0.5,0.25,1.0,1.0
AAC,supertype,0206 Pvalb Gaba_2,5,0.8333333333333334,0.06578947368421052,0.12195121951219512,0.998,1.0
hBC,supertype,0206 Pvalb Gaba_2,11,0.9166666666666666,0.14473684210526316,0.25,0.9954545454545454,1.0
hBC,supertype,1194 Microglia NN_1,1,0.08333333333333333,0.2,0.11764705882352941,1.0,1.0
hBIC,supertype,0205 Pvalb Gaba_1,1,0.09090909090909091,1.0,0.16666666666666669,0.81,0.81
hBIC,supertype,0206 Pvalb Gaba_2,9,0.8181818181818182,0.11842105263157894,0.20689655172413793,1.0,1.0
hBIC,supertype,1161 Astro-TE NN_1,1,0.09090909090909091,1.0,0.16666666666666669,1.0,1.0
vBC,supertype,0204 Pvalb chandelier Gaba_1,1,0.02127659574468085,0.5,0.04081632653061224,1.0,1.0
vBC,supertype,0206 Pvalb Gaba_2,42,0.8936170212765957,0.5526315789473685,0.6829268292682927,0.9988095238095239,1.0
vBC,supertype,1194 Microglia NN_1,4,0.0851063829787234,0.8,0.15384615384615383,1.0,1.0
vBIC,supertype,0206 Pvalb Gaba_2,9,1.0,0.11842105263157894,0.2117647058823529,0.9944444444444444,1.0
AAC,cluster,0732 Pvalb chandelier Gaba_1,1,0.16666666666666666,0.5,0.25,1.0,1.0
AAC,cluster,0739 Pvalb Gaba_2,5,0.8333333333333334,0.1388888888888889,0.2380952380952381,0.992,1.0
hBC,cluster,0737 Pvalb Gaba_2,4,0.5,0.17391304347826086,0.25806451612903225,0.99,0.995
hBC,cluster,0739 Pvalb Gaba_2,4,0.5,0.1111111111111111,0.1818181818181818,1.0,1.0
hBIC,cluster,0736 Pvalb Gaba_1,1,0.1,1.0,0.18181818181818182,1.0,1.0
hBIC,cluster,0737 Pvalb Gaba_2,9,0.9,0.391304347826087,0.5454545454545454,0.9922222222222222,1.0
vBC,cluster,0732 Pvalb chandelier Gaba_1,1,0.03225806451612903,0.5,0.06060606060606061,1.0,1.0
vBC,cluster,0737 Pvalb Gaba_2,3,0.0967741935483871,0.13043478260869565,0.1111111111111111,0.9433333333333334,0.97
vBC,cluster,0739 Pvalb Gaba_2,27,0.8709677419354839,0.75,0.8059701492537312,0.9862962962962962,1.0
vBIC,cluster,0737 Pvalb Gaba_2,7,1.0,0.30434782608695654,0.4666666666666667,0.9785714285714286,1.0
