source_label,level,target_name,n_cells,group_purity,target_purity,f1,mean_boot,median_boot
AAC,class,07 CTX-MGE GABA,6,1.0,0.07894736842105263,0.14634146341463414,0.9783333333333334,1.0
BC,class,07 CTX-MGE GABA,53,1.0,0.6973684210526315,0.8217054263565892,0.9960377358490566,1.0
BIC,class,07 CTX-MGE GABA,17,1.0,0.2236842105263158,0.3655913978494624,0.9899999999999999,1.0
AAC,subclass,051 Pvalb chandelier Gaba,1,0.16666666666666666,0.5,0.25,1.0,1.0
AAC,subclass,052 Pvalb Gaba,5,0.8333333333333334,0.06666666666666667,0.1234567901234568,0.9960000000000001,1.0
BC,subclass,051 Pvalb chandelier Gaba,1,0.01694915254237288,0.5,0.03278688524590164,0.95,0.95
BC,subclass,052 Pvalb Gaba,52,0.8813559322033898,0.6933333333333334,0.7761194029850748,0.9961538461538461,1.0
BC,subclass,319 Astro-TE NN,1,0.01694915254237288,0.5,0.03278688524590164,0.99,0.99
BC,subclass,334 Microglia NN,5,0.0847457627118644,1.0,0.15625,0.998,1.0
BIC,subclass,052 Pvalb Gaba,18,0.9473684210526315,0.24,0.38297872340425526,0.9838888888888889,1.0
BIC,subclass,319 Astro-TE NN,1,0.05263157894736842,0.5,0.09523809523809525,1.0,1.0
AAC,supertype,0204 Pvalb chandelier Gaba_1,1,0.16666666666666666,0.5,0.25,1.0,1.0
AAC,supertype,0206 Pvalb Gaba_2,5,0.8333333333333334,0.06578947368421052,0.12195121951219512,0.998,1.0
BC,supertype,0204 Pvalb chandelier Gaba_1,1,0.01694915254237288,0.5,0.03278688524590164,1.0,1.0
BC,supertype,0206 Pvalb Gaba_2,53,0.8983050847457628,0.6973684210526315,0.7851851851851851,0.9981132075471698,1.0
BC,supertype,1194 Microglia NN_1,5,0.0847457627118644,1.0,0.15625,1.0,1.0
BIC,supertype,0205 Pvalb Gaba_1,1,0.05,1.0,0.09523809523809523,0.81,0.81
BIC,supertype,0206 Pvalb Gaba_2,18,0.9,0.23684210526315788,0.375,0.9972222222222222,1.0
BIC,supertype,1161 Astro-TE NN_1,1,0.05,1.0,0.09523809523809523,1.0,1.0
AAC,cluster,0732 Pvalb chandelier Gaba_1,1,0.16666666666666666,0.5,0.25,1.0,1.0
AAC,cluster,0739 Pvalb Gaba_2,5,0.8333333333333334,0.1388888888888889,0.2380952380952381,0.992,1.0
BC,cluster,0732 Pvalb chandelier Gaba_1,1,0.02564102564102564,0.5,0.048780487804878044,1.0,1.0
BC,cluster,0737 Pvalb Gaba_2,7,0.1794871794871795,0.30434782608695654,0.22580645161290322,0.97,0.99
BC,cluster,0739 Pvalb Gaba_2,31,0.7948717948717948,0.8611111111111112,0.8266666666666667,0.9880645161290322,1.0
BIC,cluster,0736 Pvalb Gaba_1,1,0.058823529411764705,1.0,0.1111111111111111,1.0,1.0
BIC,cluster,0737 Pvalb Gaba_2,16,0.9411764705882353,0.6956521739130435,0.7999999999999999,0.98625,1.0
