# metadata = mmc_output.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_SUPT", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "supertype", "cluster"]
# algorithm: 'hierarchical'; codebase: http://github.com/AllenInstitute/cell_type_mapper; version: 1.7.1
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
O24,CS20230722_CLAS_07,07 CTX-MGE GABA,0.9800,CS20230722_SUBC_052,052 Pvalb Gaba,0.9700,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,1.0000
O31,CS20230722_CLAS_07,07 CTX-MGE GABA,0.6800,CS20230722_SUBC_052,052 Pvalb Gaba,0.9100,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,0.9600
O32,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,1.0000
O36,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O39,CS20230722_CLAS_07,07 CTX-MGE GABA,0.9400,CS20230722_SUBC_052,052 Pvalb Gaba,0.9800,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O41,CS20230722_CLAS_07,07 CTX-MGE GABA,0.8900,CS20230722_SUBC_052,052 Pvalb Gaba,0.9800,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,0.9900,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,0.9600
O44,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,1.0000
O46,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,0.6500
O47,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O48,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O49,CS20230722_CLAS_07,07 CTX-MGE GABA,0.6500,CS20230722_SUBC_052,052 Pvalb Gaba,0.9000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,0.7500,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,0.6600
O52,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O54,CS20230722_CLAS_34,34 Immune,0.7900,CS20230722_SUBC_334,334 Microglia NN,1.0000,CS20230722_SUPT_1194,1194 Microglia NN_1,1.0000,CS20230722_CLUS_5312,5312 Microglia NN_1,5283,1.0000
O55,CS20230722_CLAS_34,34 Immune,0.5400,CS20230722_SUBC_334,334 Microglia NN,0.9900,CS20230722_SUPT_1194,1194 Microglia NN_1,1.0000,CS20230722_CLUS_5312,5312 Microglia NN_1,5283,1.0000
O56,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,1.0000
O58,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O60,CS20230722_CLAS_30,30 Astro-Epen,0.7600,CS20230722_SUBC_319,319 Astro-TE NN,0.9900,CS20230722_SUPT_1163,1163 Astro-TE NN_3,0.6700,CS20230722_CLUS_5224,5224 Astro-TE NN_3,14851,1.0000
O61,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,0.9900,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,0.9900
O62,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,0.7200
O65,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,0.9900,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,0.9900
