source_label,level,target_name,n_cells,group_purity,target_purity,f1,mean_boot,median_boot
Astro,class,30 Astro-Epen,17,1.0,1.0,1.0,1.0,1.0
CA1-ProS,class,01 IT-ET Glut,1590,1.0,0.8075165058405281,0.8935094127563922,1.0,1.0
CA2-IG-FC,class,01 IT-ET Glut,19,1.0,0.009649568308786187,0.019114688128772636,1.0,1.0
CA3,class,01 IT-ET Glut,322,1.0,0.16353478923311326,0.28109995635093843,1.0,1.0
DG,class,04 DG-IMN Glut,2473,1.0,0.9991919191919192,0.9995957962813258,0.9994096239385362,1.0
L2/3 IT ENTl,class,04 DG-IMN Glut,2,1.0,0.0008080808080808081,0.0016148566814695195,1.0,1.0
L2/3 IT RHP,class,01 IT-ET Glut,5,1.0,0.0025393600812595226,0.005065856129685917,1.0,1.0
L6 CT CTX,class,02 NP-CT-L6b Glut,2,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0
L6b CTX,class,02 NP-CT-L6b Glut,1,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0
Lamp5,class,06 CTX-CGE GABA,156,0.18118466898954705,0.15384615384615385,0.16640000000000002,1.0,1.0
Lamp5,class,07 CTX-MGE GABA,705,0.818815331010453,0.675934803451582,0.7405462184873949,0.9967801418439717,1.0
Micro-PVM,class,34 Immune,20,1.0,1.0,1.0,1.0,1.0
NP SUB,class,02 NP-CT-L6b Glut,9,1.0,0.75,0.8571428571428571,1.0,1.0
Oligo,class,31 OPC-Oligo,1,1.0,1.0,1.0,1.0,1.0
Pvalb,class,07 CTX-MGE GABA,66,1.0,0.06327900287631831,0.11902614968440035,0.9992424242424243,1.0
SUB-ProS,class,01 IT-ET Glut,33,1.0,0.01675977653631285,0.03296703296703297,0.9993939393939393,1.0
Sncg,class,06 CTX-CGE GABA,383,0.9973958333333334,0.3777120315581854,0.547925608011445,0.9994778067885117,1.0
Sncg,class,11 CNU-HYa GABA,1,0.0026041666666666665,0.5,0.0051813471502590676,1.0,1.0
Sst,class,07 CTX-MGE GABA,272,0.9963369963369964,0.2607861936720997,0.4133738601823709,0.9999264705882354,1.0
Sst,class,11 CNU-HYa GABA,1,0.003663003663003663,0.5,0.007272727272727273,1.0,1.0
Sst Chodl,class,08 CNU-MGE GABA,3,1.0,1.0,1.0,1.0,1.0
Vip,class,06 CTX-CGE GABA,475,1.0,0.46844181459566075,0.6380120886501007,1.0,1.0
Astro,subclass,319 Astro-TE NN,3,0.2,1.0,0.33333333333333337,1.0,1.0
Astro,subclass,321 Astroependymal NN,12,0.8,1.0,0.888888888888889,0.9916666666666667,1.0
CA1-ProS,subclass,015 ENTmv-PA-COAp Glut,3,0.001893939393939394,1.0,0.003780718336483932,0.94,0.94
CA1-ProS,subclass,016 CA1-ProS Glut,1574,0.9936868686868687,0.9962025316455696,0.9949431099873578,0.9995806861499364,1.0
CA1-ProS,subclass,017 CA3 Glut,2,0.0012626262626262627,0.006211180124223602,0.002098635886673662,1.0,1.0
CA1-ProS,subclass,023 SUB-ProS Glut,5,0.0031565656565656565,0.13157894736842105,0.006165228113440197,0.976,1.0
CA2-IG-FC,subclass,025 CA2-FC-IG Glut,18,1.0,0.9473684210526315,0.972972972972973,1.0,1.0
CA3,subclass,016 CA1-ProS Glut,1,0.003105590062111801,0.0006329113924050633,0.0010515247108307047,0.85,0.85
CA3,subclass,017 CA3 Glut,320,0.9937888198757764,0.9937888198757764,0.9937888198757764,1.0,1.0
CA3,subclass,025 CA2-FC-IG Glut,1,0.003105590062111801,0.05263157894736842,0.005865102639296187,0.81,0.81
DG,subclass,037 DG Glut,2473,1.0,0.9991919191919192,0.9995957962813258,1.0,1.0
L2/3 IT ENTl,subclass,037 DG Glut,2,1.0,0.0008080808080808081,0.0016148566814695195,1.0,1.0
L2/3 IT RHP,subclass,016 CA1-ProS Glut,5,1.0,0.0031645569620253164,0.006309148264984227,1.0,1.0
L6 CT CTX,subclass,030 L6 CT CTX Glut,1,1.0,1.0,1.0,1.0,1.0
L6b CTX,subclass,028 L6b/CT ENT Glut,1,1.0,1.0,1.0,1.0,1.0
Lamp5,subclass,047 Sncg Gaba,1,0.0011547344110854503,0.008695652173913044,0.0020387359836901123,1.0,1.0
Lamp5,subclass,048 RHP-COA Ndnf Gaba,1,0.0011547344110854503,0.004545454545454545,0.001841620626151013,0.96,0.96
Lamp5,subclass,049 Lamp5 Gaba,153,0.1766743648960739,0.95625,0.29824561403508776,0.9990849673202615,1.0
Lamp5,subclass,050 Lamp5 Lhx6 Gaba,710,0.8198614318706697,0.9916201117318436,0.8975979772439949,0.9998591549295774,1.0
Lamp5,subclass,054 STR Prox1 Lhx6 Gaba,1,0.0011547344110854503,1.0,0.002306805074971165,1.0,1.0
Micro-PVM,subclass,334 Microglia NN,1,0.05,1.0,0.09523809523809523,1.0,1.0
Micro-PVM,subclass,335 BAM NN,19,0.95,1.0,0.9743589743589743,1.0,1.0
NP SUB,subclass,033 NP SUB Glut,9,1.0,1.0,1.0,1.0,1.0
Oligo,subclass,327 Oligo NN,1,1.0,1.0,1.0,1.0,1.0
Pvalb,subclass,050 Lamp5 Lhx6 Gaba,4,0.06666666666666667,0.00558659217877095,0.010309278350515464,0.9875,0.985
Pvalb,subclass,051 Pvalb chandelier Gaba,25,0.4166666666666667,1.0,0.5882352941176471,0.9895999999999999,1.0
Pvalb,subclass,052 Pvalb Gaba,25,0.4166666666666667,1.0,0.5882352941176471,0.98,1.0
Pvalb,subclass,053 Sst Gaba,6,0.1,0.02214022140221402,0.036253776435045314,0.985,1.0
SUB-ProS,subclass,023 SUB-ProS Glut,33,1.0,0.868421052631579,0.9295774647887324,0.9978787878787879,1.0
Sncg,subclass,046 Vip Gaba,23,0.06442577030812324,0.047325102880658436,0.054567022538552785,0.9747826086956521,1.0
Sncg,subclass,047 Sncg Gaba,114,0.31932773109243695,0.991304347826087,0.4830508474576271,0.9889473684210526,1.0
Sncg,subclass,048 RHP-COA Ndnf Gaba,219,0.6134453781512605,0.9954545454545455,0.7590987868284229,0.9931050228310503,1.0
Sncg,subclass,076 MEA-BST Lhx6 Nfib Gaba,1,0.0028011204481792717,0.5,0.005571030640668524,1.0,1.0
Sst,subclass,050 Lamp5 Lhx6 Gaba,2,0.007462686567164179,0.002793296089385475,0.0040650406504065045,0.9099999999999999,0.9099999999999999
Sst,subclass,053 Sst Gaba,265,0.9888059701492538,0.977859778597786,0.9833024118738404,0.9984905660377359,1.0
Sst,subclass,076 MEA-BST Lhx6 Nfib Gaba,1,0.0037313432835820895,0.5,0.007407407407407408,1.0,1.0
Sst Chodl,subclass,056 Sst Chodl Gaba,3,1.0,1.0,1.0,1.0,1.0
Vip,subclass,046 Vip Gaba,463,0.9851063829787234,0.9526748971193416,0.9686192468619248,0.9984449244060475,1.0
Vip,subclass,049 Lamp5 Gaba,7,0.014893617021276596,0.04375,0.022222222222222223,0.9328571428571429,0.91
Astro,supertype,1161 Astro-TE NN_1,1,0.0625,1.0,0.11764705882352941,1.0,1.0
Astro,supertype,1163 Astro-TE NN_3,1,0.0625,1.0,0.11764705882352941,1.0,1.0
Astro,supertype,1169 Astroependymal NN_1,14,0.875,1.0,0.9333333333333333,1.0,1.0
CA1-ProS,supertype,0066 ENTmv-PA-COAp Glut_1,4,0.0026702269692923898,1.0,0.005326231691078561,1.0,1.0
CA1-ProS,supertype,0069 CA1-ProS Glut_1,979,0.6535380507343124,0.9989795918367347,0.7901533494753834,0.9970888661899897,1.0
CA1-ProS,supertype,0070 CA1-ProS Glut_2,257,0.17156208277703605,1.0,0.2928774928774929,0.9885214007782102,1.0
CA1-ProS,supertype,0071 CA1-ProS Glut_3,23,0.015353805073431242,1.0,0.030243261012491782,0.9430434782608696,0.99
CA1-ProS,supertype,0072 CA1-ProS Glut_4,185,0.12349799732977303,1.0,0.21984551396316102,0.9844324324324325,1.0
CA1-ProS,supertype,0073 CA1-ProS Glut_5,43,0.02870493991989319,1.0,0.05580791693705387,0.9972093023255815,1.0
CA1-ProS,supertype,0075 CA3 Glut_1,1,0.0006675567423230974,0.018518518518518517,0.0012886597938144327,1.0,1.0
CA1-ProS,supertype,0076 CA3 Glut_2,1,0.0006675567423230974,0.05,0.0013175230566534913,1.0,1.0
CA1-ProS,supertype,0097 SUB-ProS Glut_2,5,0.0033377837116154874,0.3125,0.0066050198150594455,1.0,1.0
CA2-IG-FC,supertype,0100 CA2-FC-IG Glut_1,1,0.05263157894736842,1.0,0.1,1.0,1.0
