source_label,level,target_name,n_cells,group_purity,target_purity,f1,mean_boot,median_boot
Astrocytes,class,30 Astro-Epen,117,1.0,0.8181818181818182,0.9,0.9801709401709401,0.99
Cajal-Retzius,class,03 OB-CR Glut,15,1.0,1.0,1.0,0.9046666666666667,0.89
Cck-Tox,class,01 IT-ET Glut,16,1.0,0.1523809523809524,0.26446280991735543,0.908125,0.92
Endothelial,class,33 Vascular,52,1.0,0.6190476190476191,0.7647058823529412,0.95,0.96
GABA-Cnr1,class,06 CTX-CGE GABA,17,1.0,0.9444444444444444,0.9714285714285714,0.9747058823529412,0.99
GABA-Lhx6,class,06 CTX-CGE GABA,1,0.05263157894736842,0.05555555555555555,0.05405405405405406,0.98,0.98
GABA-Lhx6,class,07 CTX-MGE GABA,18,0.9473684210526315,1.0,0.972972972972973,0.9416666666666667,0.975
Granule-immature,class,01 IT-ET Glut,4,0.015037593984962405,0.0380952380952381,0.021563342318059297,0.84,0.835
Granule-immature,class,04 DG-IMN Glut,262,0.9849624060150376,0.39939024390243905,0.5683297180043384,0.898206106870229,0.9
Granule-mature,class,01 IT-ET Glut,20,0.09900990099009901,0.19047619047619047,0.13029315960912055,0.85,0.845
Granule-mature,class,04 DG-IMN Glut,182,0.900990099009901,0.2774390243902439,0.42424242424242425,0.8833516483516484,0.88
Microglia,class,34 Immune,42,1.0,0.84,0.9130434782608696,0.9076190476190475,0.915
Mossy-Adcyap1,class,01 IT-ET Glut,28,1.0,0.26666666666666666,0.4210526315789474,0.9542857142857143,0.99
Mossy-Cyp26b1,class,01 IT-ET Glut,33,1.0,0.3142857142857143,0.4782608695652174,0.9799999999999999,1.0
Mossy-Klk8,class,01 IT-ET Glut,3,1.0,0.02857142857142857,0.05555555555555556,0.8866666666666667,0.91
NFOL,class,31 OPC-Oligo,8,1.0,0.13114754098360656,0.23188405797101452,0.95625,0.9450000000000001
Neuroblast 1,class,04 DG-IMN Glut,17,0.9444444444444444,0.025914634146341462,0.050445103857566766,0.8911764705882353,0.88
Neuroblast 1,class,05 OB-IMN GABA,1,0.05555555555555555,0.5,0.09999999999999999,0.93,0.93
Neuroblast 2,class,01 IT-ET Glut,1,0.0051813471502590676,0.009523809523809525,0.006711409395973154,0.84,0.84
Neuroblast 2,class,04 DG-IMN Glut,192,0.9948186528497409,0.2926829268292683,0.4522968197879858,0.91828125,0.93
OL,class,31 OPC-Oligo,43,1.0,0.7049180327868853,0.8269230769230769,0.9339534883720929,0.94
OPC,class,31 OPC-Oligo,8,1.0,0.13114754098360656,0.23188405797101452,0.89625,0.88
PVM,class,33 Vascular,1,0.1111111111111111,0.011904761904761904,0.021505376344086023,0.91,0.91
PVM,class,34 Immune,8,0.8888888888888888,0.16,0.27118644067796616,0.95,0.965
Pericytes,class,33 Vascular,18,1.0,0.21428571428571427,0.35294117647058826,0.9455555555555555,0.95
Radial Glia-like,class,30 Astro-Epen,26,1.0,0.18181818181818182,0.3076923076923077,0.9142307692307692,0.91
VLMC,class,33 Vascular,13,1.0,0.15476190476190477,0.2680412371134021,0.9584615384615384,0.98
nIPC,class,04 DG-IMN Glut,3,0.5,0.004573170731707317,0.00906344410876133,0.8766666666666666,0.84
nIPC,class,05 OB-IMN GABA,1,0.16666666666666666,0.5,0.25,0.99,0.99
nIPC,class,31 OPC-Oligo,2,0.3333333333333333,0.03278688524590164,0.05970149253731344,0.985,0.985
Astrocytes,subclass,319 Astro-TE NN,119,1.0,0.725609756097561,0.8409893992932862,0.9773949579831933,1.0
Cajal-Retzius,subclass,036 HPF CR Glut,33,1.0,0.9705882352941176,0.9850746268656716,1.0,1.0
Cck-Tox,subclass,018 L2 IT PPP-APr Glut,11,0.4782608695652174,1.0,0.6470588235294118,0.9781818181818182,1.0
Cck-Tox,subclass,019 L2/3 IT PPP Glut,12,0.5217391304347826,1.0,0.6857142857142856,0.9066666666666666,0.915
Endothelial,subclass,037 DG Glut,1,0.01818181818181818,0.0007621951219512195,0.001463057790782736,1.0,1.0
Endothelial,subclass,333 Endo NN,54,0.9818181818181818,0.8709677419354839,0.923076923076923,0.9987037037037036,1.0
GABA-Cnr1,subclass,046 Vip Gaba,5,0.3125,1.0,0.47619047619047616,0.974,1.0
GABA-Cnr1,subclass,048 RHP-COA Ndnf Gaba,11,0.6875,0.9166666666666666,0.7857142857142857,0.9518181818181819,0.98
GABA-Lhx6,subclass,048 RHP-COA Ndnf Gaba,1,0.03225806451612903,0.08333333333333333,0.046511627906976744,1.0,1.0
GABA-Lhx6,subclass,049 Lamp5 Gaba,1,0.03225806451612903,1.0,0.0625,0.99,0.99
GABA-Lhx6,subclass,050 Lamp5 Lhx6 Gaba,17,0.5483870967741935,1.0,0.7083333333333333,0.9988235294117648,1.0
