source_label,level,best_target,n_cells,coverage,purity,f1,median_boot
GABA-1-Foxp2_Fmod,class,09 CNU-LGE GABA,29,1.0,0.06839622641509434,0.1280353200883002,1.0
GABA-1-Foxp2_Fmod,subclass,065 IA Mgp Gaba,28,0.9655172413793104,0.8484848484848485,0.9032258064516129,1.0
GABA-1-Foxp2_Fmod,supertype,0292 IA Mgp Gaba_3,22,0.7586206896551724,0.9565217391304348,0.8461538461538461,1.0
GABA-1-Foxp2_Fmod,cluster,1022 IA Mgp Gaba_3,7,0.30434782608695654,1.0,0.4666666666666667,1.0
GABA-10-Prkcd-Adora2a,class,11 CNU-HYa GABA,3,1.0,0.002183406113537118,0.004357298474945534,0.97
GABA-10-Prkcd-Adora2a,subclass,079 CEA-BST Six3 Cyp26b1 Gaba,5,0.8333333333333334,0.013404825737265416,0.02638522427440633,1.0
GABA-10-Prkcd-Adora2a,supertype,0368 CEA-BST Six3 Cyp26b1 Gaba_2,5,0.8333333333333334,0.02336448598130841,0.04545454545454545,1.0
GABA-10-Prkcd-Adora2a,cluster,1333 CEA-BST Six3 Cyp26b1 Gaba_2,3,1.0,0.14285714285714285,0.25,0.95
GABA-11-Adora2a-Id4,class,11 CNU-HYa GABA,25,0.8064516129032258,0.018195050946142648,0.03558718861209964,0.92
GABA-11-Adora2a-Id4,subclass,079 CEA-BST Six3 Cyp26b1 Gaba,44,0.5641025641025641,0.11796246648793565,0.1951219512195122,1.0
GABA-11-Adora2a-Id4,supertype,0371 CEA-BST Six3 Cyp26b1 Gaba_5,40,0.5714285714285714,0.8888888888888888,0.6956521739130435,1.0
GABA-11-Adora2a-Id4,cluster,1344 CEA-BST Six3 Cyp26b1 Gaba_5,21,0.75,1.0,0.8571428571428571,1.0
GABA-12-Adora2a-Scn4b,class,09 CNU-LGE GABA,51,0.9622641509433962,0.12028301886792453,0.2138364779874214,0.98
GABA-12-Adora2a-Scn4b,subclass,062 STR D2 Gaba,63,0.8873239436619719,0.5478260869565217,0.6774193548387096,1.0
GABA-12-Adora2a-Scn4b,supertype,0274 STR D2 Gaba_1,46,0.7419354838709677,0.696969696969697,0.71875,1.0
GABA-12-Adora2a-Scn4b,cluster,0970 STR D2 Gaba_1,14,0.35,0.9333333333333333,0.5090909090909091,1.0
