source_label,level,target_name,n_cells,coverage,purity,f1,mean_boot,median_boot
MC-01_Nefm_Tac2,class,01 IT-ET Glut,12,0.03314917127071823,0.4444444444444444,0.06169665809768637,1.0,1.0
MC-01_Nefm_Tac2,class,07 CTX-MGE GABA,1,0.0027624309392265192,1.0,0.005509641873278237,0.87,0.87
MC-01_Nefm_Tac2,class,08 CNU-MGE GABA,7,0.019337016574585635,0.28,0.03617571059431524,0.9914285714285713,1.0
MC-01_Nefm_Tac2,class,09 CNU-LGE GABA,6,0.016574585635359115,0.06382978723404255,0.02631578947368421,0.9916666666666667,1.0
MC-01_Nefm_Tac2,class,11 CNU-HYa GABA,334,0.9226519337016574,0.2638230647709321,0.4103194103194104,0.9787125748502994,1.0
MC-01_Nefm_Tac2,class,33 Vascular,2,0.0055248618784530384,0.05128205128205128,0.00997506234413965,0.8500000000000001,0.8500000000000001
MC-02_Sst_Pdyn_Crh,class,09 CNU-LGE GABA,1,0.05,0.010638297872340425,0.017543859649122806,0.88,0.88
MC-02_Sst_Pdyn_Crh,class,11 CNU-HYa GABA,19,0.95,0.015007898894154818,0.029548989113530325,0.9952631578947368,1.0
MC-03_Sst_Pdyn,class,08 CNU-MGE GABA,1,0.01098901098901099,0.04,0.017241379310344827,1.0,1.0
MC-03_Sst_Pdyn,class,09 CNU-LGE GABA,1,0.01098901098901099,0.010638297872340425,0.010810810810810811,1.0,1.0
MC-03_Sst_Pdyn,class,11 CNU-HYa GABA,89,0.978021978021978,0.0703001579778831,0.131171702284451,0.981685393258427,1.0
MC-05_MSN_Drd2Scn4b,class,09 CNU-LGE GABA,14,0.8235294117647058,0.14893617021276595,0.25225225225225223,0.9678571428571429,0.995
MC-05_MSN_Drd2Scn4b,class,11 CNU-HYa GABA,3,0.17647058823529413,0.002369668246445498,0.004676539360872954,0.9933333333333333,1.0
MC-06_PKCd_Cartpt,class,09 CNU-LGE GABA,2,0.020202020202020204,0.02127659574468085,0.02072538860103627,0.8899999999999999,0.8899999999999999
MC-06_PKCd_Cartpt,class,11 CNU-HYa GABA,97,0.9797979797979798,0.07661927330173776,0.14212454212454212,0.979381443298969,0.99
MC-07_AST_Drd1,class,01 IT-ET Glut,1,0.09090909090909091,0.037037037037037035,0.05263157894736842,1.0,1.0
MC-07_AST_Drd1,class,09 CNU-LGE GABA,1,0.09090909090909091,0.010638297872340425,0.019047619047619046,1.0,1.0
MC-07_AST_Drd1,class,11 CNU-HYa GABA,9,0.8181818181818182,0.0071090047393364926,0.014095536413469067,0.9588888888888888,0.98
MC-09_Gpx3_Gal,class,08 CNU-MGE GABA,3,0.10344827586206896,0.12,0.11111111111111112,0.9966666666666667,1.0
MC-09_Gpx3_Gal,class,09 CNU-LGE GABA,1,0.034482758620689655,0.010638297872340425,0.016260162601626015,1.0,1.0
MC-09_Gpx3_Gal,class,11 CNU-HYa GABA,25,0.8620689655172413,0.019747235387045814,0.03861003861003861,0.968,0.98
MC-11_Sst_Sema3c,class,06 CTX-CGE GABA,1,0.030303030303030304,0.5,0.05714285714285715,1.0,1.0
MC-11_Sst_Sema3c,class,08 CNU-MGE GABA,2,0.06060606060606061,0.08,0.0689655172413793,1.0,1.0
MC-11_Sst_Sema3c,class,11 CNU-HYa GABA,29,0.8787878787878788,0.022906793048973143,0.04464973056197074,0.9651724137931034,0.99
MC-11_Sst_Sema3c,class,33 Vascular,1,0.030303030303030304,0.02564102564102564,0.027777777777777776,0.85,0.85
MC-12_Sst_other,class,01 IT-ET Glut,3,0.02459016393442623,0.1111111111111111,0.04026845637583893,1.0,1.0
MC-12_Sst_other,class,08 CNU-MGE GABA,2,0.01639344262295082,0.08,0.027210884353741496,1.0,1.0
MC-12_Sst_other,class,09 CNU-LGE GABA,9,0.07377049180327869,0.09574468085106383,0.08333333333333333,0.9611111111111111,0.99
MC-12_Sst_other,class,11 CNU-HYa GABA,101,0.8278688524590164,0.07977883096366509,0.14553314121037464,0.9667326732673267,0.99
MC-12_Sst_other,class,31 OPC-Oligo,2,0.01639344262295082,0.2857142857142857,0.031007751937984496,0.995,0.995
MC-12_Sst_other,class,33 Vascular,5,0.040983606557377046,0.1282051282051282,0.062111801242236024,0.9339999999999999,0.96
