Esemble Gene ID,RP3V,ARC Log2>7,Gene Name
ENSMUSG00000007777,11,12.79,0610009B22Rik
ENSMUSG00000042208,7.48,7.7,0610010F05Rik
ENSMUSG00000107002,9.41,9.91,0610012G03Rik
ENSMUSG00000030663,13.27,13.49,1110004F10Rik
ENSMUSG00000039195,8.45,10.68,1110008P14Rik
ENSMUSG00000045237,3.36,9.95,1110012L19Rik
ENSMUSG00000037971,10.29,8.28,1110032A03Rik
ENSMUSG00000063236,8.51,8.53,1110038F14Rik
ENSMUSG00000040591,6.89,11.92,1110051M20Rik
ENSMUSG00000035171,5.6,10.3,1110059E24Rik
ENSMUSG00000078570,8.74,8.28,1110065P20Rik
ENSMUSG00000098912,5.27,10.13,1500004A13Rik
ENSMUSG00000087651,11.88,11.36,1500009L16Rik
ENSMUSG00000072694,12.8,12.32,1500011B03Rik
ENSMUSG00000097048,3.1,7.04,1600020E01Rik
ENSMUSG00000021534,7.7,8.15,1700001L19Rik
ENSMUSG00000032666,1.7,7.37,1700025G04Rik
ENSMUSG00000027327,7.09,10.2,1700037H04Rik
ENSMUSG00000071265,14.08,13.5,1700086L19Rik
ENSMUSG00000040822,4.71,9.84,1700123O20Rik
ENSMUSG00000101970,4.97,7.38,1810026B05Rik
ENSMUSG00000054091,13.1,12.34,1810037I17Rik
ENSMUSG00000073155,9.42,9.65,1810058I24Rik
ENSMUSG00000063018,11.87,11.49,2010204K13Rik
ENSMUSG00000100691,4.77,7.85,2010320M18Rik
ENSMUSG00000021550,9.72,11.22,2210016F16Rik
ENSMUSG00000029559,12.03,10.8,2210016L21Rik
ENSMUSG00000087380,2.57,9.61,2210408F21Rik
ENSMUSG00000020133,0.38,7.89,2310011J03Rik
ENSMUSG00000020441,8.69,8.62,2310033P09Rik
ENSMUSG00000062619,7.24,7.28,2310039H08Rik
ENSMUSG00000040177,5.27,8,2310057M21Rik
ENSMUSG00000050705,8.74,9.36,2310061I04Rik
ENSMUSG00000036873,5.45,10.64,2410004B18Rik
ENSMUSG00000086841,10.02,7.03,2410006H16Rik
ENSMUSG00000032840,6.91,9.01,2410131K14Rik
ENSMUSG00000071632,7.56,7.57,2510002D24Rik
ENSMUSG00000052419,3.97,10.39,2610001J05Rik
ENSMUSG00000031242,6.66,8.42,2610002M06Rik
ENSMUSG00000059482,11.84,12.54,2610301B20Rik
ENSMUSG00000100164,3.35,7.24,2610306M01Rik
ENSMUSG00000010277,8.77,8.05,2610507B11Rik
ENSMUSG00000024273,6.06,9.27,2700062C07Rik
ENSMUSG00000087497,4.92,7.71,2810001G20Rik
ENSMUSG00000031984,5.81,7.89,2810004N23Rik
ENSMUSG00000026388,8.22,7.03,3110009E18Rik
ENSMUSG00000025102,7.69,7.3,3110040N11Rik
ENSMUSG00000074024,4.94,7.11,4632427E13Rik
ENSMUSG00000097350,7.14,7.76,4732491K20Rik
ENSMUSG00000025871,7.83,10.33,4833439L19Rik
ENSMUSG00000036934,7.02,8.61,4921524J17Rik
ENSMUSG00000046567,4.33,7.36,4930430F08Rik
ENSMUSG00000059920,7.26,8.1,4930453N24Rik
ENSMUSG00000085084,7.35,7.36,4930570G19Rik
ENSMUSG00000037270,3.08,7.28,4932438A13Rik
ENSMUSG00000020807,5.13,8.32,4933427D14Rik
ENSMUSG00000027942,10.17,11.13,4933434E20Rik
ENSMUSG00000073147,3.76,7.28,5031425E22Rik
ENSMUSG00000040412,4.81,9.87,5330417C22Rik
ENSMUSG00000087620,2.04,8.06,5330434G04Rik
ENSMUSG00000087174,0.19,9.23,5530601H04Rik
ENSMUSG00000057181,5,9.63,5730455P16Rik
ENSMUSG00000029089,3.14,7.89,5730480H06Rik
ENSMUSG00000018451,15.04,14.44,6330403K07Rik
ENSMUSG00000031824,7.31,7.94,6430548M08Rik
ENSMUSG00000072066,2.05,9.97,6720489N17Rik
ENSMUSG00000101892,4.15,7.83,9130401M01Rik
ENSMUSG00000004360,4.3,8.03,9330159F19Rik
ENSMUSG00000036275,9.86,11.21,9530068E07Rik
ENSMUSG00000097006,7.11,8.82,9530082P21Rik
ENSMUSG00000047613,5.64,8.82,A430005L14Rik
ENSMUSG00000054426,8.97,8.43,A930005H10Rik
ENSMUSG00000093483,12.87,11.47,AA465934
ENSMUSG00000037257,3.41,7.27,Aagab
ENSMUSG00000057230,6.93,8.77,Aak1
ENSMUSG00000035642,8.91,9.19,Aamdc
ENSMUSG00000006299,9.4,12.05,Aamp
ENSMUSG00000027628,3.16,8.48,Aar2
ENSMUSG00000068522,3.31,10.1,Aard
ENSMUSG00000031960,4.93,8.66,Aars
ENSMUSG00000025894,9.57,10.07,Aasdhppt
ENSMUSG00000025375,5.97,7.5,Aatk
ENSMUSG00000057880,9.33,11.11,Abat
ENSMUSG00000022822,8.98,8.98,Abcc5
ENSMUSG00000028127,5.31,7.22,Abcd3
ENSMUSG00000058355,3.28,8.08,Abce1
ENSMUSG00000038762,11.05,9.16,Abcf1
ENSMUSG00000028953,6.86,9.48,Abcf2
ENSMUSG00000003234,4.97,9.5,Abcf3
ENSMUSG00000024030,5.66,7.19,Abcg1
ENSMUSG00000033157,9.68,9.72,Abhd10
ENSMUSG00000040532,3.41,8.42,Abhd11
ENSMUSG00000032046,8.66,10.7,Abhd12
ENSMUSG00000007036,5.5,9.87,Abhd16a
ENSMUSG00000003346,6.14,7.95,Abhd17a
ENSMUSG00000025277,3.17,8.21,Abhd6
ENSMUSG00000058835,6.49,8.06,Abi1
ENSMUSG00000026782,7.98,9.42,Abi2
ENSMUSG00000017631,8.88,9.32,Abr
ENSMUSG00000030965,5.3,7.28,Abraxas2
ENSMUSG00000036138,7.47,7.81,Acaa1a
ENSMUSG00000027710,4.37,7.46,Acad9
ENSMUSG00000062908,8.18,9.28,Acadm
ENSMUSG00000030861,3.64,9.27,Acadsb
ENSMUSG00000018574,3.17,7.8,Acadvl
ENSMUSG00000032047,9.97,11.86,Acat1
ENSMUSG00000023832,4.64,7.91,Acat2
ENSMUSG00000026499,6.39,8.35,Acbd3
ENSMUSG00000026781,5.74,9.04,Acbd5
ENSMUSG00000033701,8.68,8.18,Acbd6
ENSMUSG00000038000,5.92,9.55,Acd
ENSMUSG00000030760,4.95,9.89,Acer3
ENSMUSG00000023328,6.32,9.67,Ache
ENSMUSG00000020917,4.7,9.37,Acly
ENSMUSG00000022477,9.1,10.78,Aco2
ENSMUSG00000006717,10.76,11.51,Acot13
ENSMUSG00000028937,10.73,13.39,Acot7
ENSMUSG00000025287,6.5,8.94,Acot9
ENSMUSG00000020777,6.12,7.17,Acox1
ENSMUSG00000044573,8.58,10.62,Acp1
ENSMUSG00000002103,3.86,7.28,Acp2
ENSMUSG00000032883,6.66,8.37,Acsl3
ENSMUSG00000029580,10.31,10.85,Actb
ENSMUSG00000062825,7.7,9.67,Actg1
ENSMUSG00000027671,0,9.19,Actl6a
ENSMUSG00000021076,11.09,10.39,Actr10
ENSMUSG00000025228,6.39,8.42,Actr1a
ENSMUSG00000037351,6.18,9.86,Actr1b
ENSMUSG00000020152,8.03,9.48,Actr2
ENSMUSG00000026341,8.89,9.24,Actr3
ENSMUSG00000056367,6.08,7.47,Actr3b
ENSMUSG00000019948,11.07,10.58,Actr6
ENSMUSG00000015971,10.21,10.52,Actr8
ENSMUSG00000008822,11.18,9.63,Acyp1
ENSMUSG00000060923,7.47,7.37,Acyp2
ENSMUSG00000054693,4.7,9.15,Adam10
ENSMUSG00000040537,4.1,8.3,Adam22
ENSMUSG00000025964,5.81,7.59,Adam23
ENSMUSG00000019808,7.07,8.11,Adat2
ENSMUSG00000029106,7.06,9.48,Add1
ENSMUSG00000025026,6.93,8.67,Add3
ENSMUSG00000033569,7.33,9.09,Adgrb3
ENSMUSG00000013033,6.87,7.11,Adgrl1
ENSMUSG00000028184,0.16,9.59,Adgrl2
ENSMUSG00000037605,5.29,7.72,Adgrl3
ENSMUSG00000028138,3.07,8.69,Adh5
ENSMUSG00000020629,5.2,7.74,Adi1
ENSMUSG00000026457,4.37,7.25,Adipor1
ENSMUSG00000039197,9.42,9.07,Adk
ENSMUSG00000002844,5.2,10.75,Adprh
ENSMUSG00000039041,10.53,10.76,Adrm1
ENSMUSG00000022407,4.63,9.04,Adsl
ENSMUSG00000015961,3.97,9.74,Adss
ENSMUSG00000068036,10.44,11.25,Afdn
ENSMUSG00000049470,11.09,9.54,Aff4
ENSMUSG00000024527,5.09,8.43,Afg3l2
ENSMUSG00000049659,7.92,8.5,Aftph
ENSMUSG00000023353,6.04,7.23,Agap3
ENSMUSG00000026159,7.2,8.95,Agfg1
ENSMUSG00000036698,4.14,8.32,Ago2
ENSMUSG00000001211,5.63,8.78,Agpat3
ENSMUSG00000023827,10.68,10.75,Agpat4
ENSMUSG00000031467,7.61,9.49,Agpat5
ENSMUSG00000021557,3.97,7.85,Agtpbp1
ENSMUSG00000027893,4.95,9.66,Ahcyl1
ENSMUSG00000019986,14.14,14.01,Ahi1
ENSMUSG00000021037,8.64,11.72,Ahsa1
ENSMUSG00000020288,6.26,7.44,Ahsa2
ENSMUSG00000062753,7.83,7.48,AI413582
ENSMUSG00000036932,3.28,7.51,Aifm1
ENSMUSG00000022763,6.69,7.52,Aifm3
ENSMUSG00000019806,8.2,11.09,Aig1
