cluster_id	rho_rp3v	rho_arc	delta_rp3v_minus_arc	label	parent_supertype	mfr	top_anat	top_anat_n	delta_arc_minus_rp3v
CS20230722_CLUS_1915	0.3883944716845177	0.2985442029517155	0.08985026873280216	1915 PVpo-VMPO-MPN Hmx2 Gaba_5	CS20230722_SUPT_0486	0.02	Hypothalamus	3.0	-0.08985026873280216
CS20230722_CLUS_1527	0.34877487355047565	0.262044858816035	0.08673001473444064	1527 PVR Six3 Sox3 Gaba_8	CS20230722_SUPT_0418	1.56	Median preoptic nucleus	5.0	-0.08673001473444064
CS20230722_CLUS_1904	0.36682269855011723	0.2818778594840679	0.08494483906604933	1904 PVpo-VMPO-MPN Hmx2 Gaba_3	CS20230722_SUPT_0484	1.5	Hypothalamus	10.0	-0.08494483906604933
CS20230722_CLUS_1939	0.36029732271238746	0.2755079539385571	0.08478936877383036	1939 DMH Hmx2 Gaba_3	CS20230722_SUPT_0489	4.56	Dorsomedial nucleus of the hypothalamus	22.0	-0.08478936877383036
CS20230722_CLUS_1912	0.35306664085147715	0.2691897311184836	0.08387690973299355	1912 PVpo-VMPO-MPN Hmx2 Gaba_5	CS20230722_SUPT_0486	1.22	Hypothalamus	8.0	-0.08387690973299355
CS20230722_CLUS_1914	0.37994085114030446	0.2964048888882354	0.08353596225206905	1914 PVpo-VMPO-MPN Hmx2 Gaba_5	CS20230722_SUPT_0486	10.11	Periventricular hypothalamic nucleus, preoptic part	27.0	-0.08353596225206905
CS20230722_CLUS_1944	0.34199240314156565	0.2588487320296323	0.08314367111193333	1944 DMH Hmx2 Gaba_3	CS20230722_SUPT_0489	2.23	Dorsomedial nucleus of the hypothalamus	16.0	-0.08314367111193333
CS20230722_CLUS_1530	0.36834419049220507	0.28528476385688417	0.0830594266353209	1530 PVR Six3 Sox3 Gaba_8	CS20230722_SUPT_0418	0.75	Median preoptic nucleus	3.0	-0.0830594266353209
CS20230722_CLUS_1910	0.35793230057352177	0.2751247582173202	0.08280754235620158	1910 PVpo-VMPO-MPN Hmx2 Gaba_4	CS20230722_SUPT_0485	1.44	Periventricular hypothalamic nucleus, preoptic part	24.0	-0.08280754235620158
CS20230722_CLUS_1908	0.3440844919244558	0.2613742253977277	0.08271026652672808	1908 PVpo-VMPO-MPN Hmx2 Gaba_3	CS20230722_SUPT_0484	1.5	Periventricular hypothalamic nucleus, preoptic part	26.0	-0.08271026652672808
CS20230722_CLUS_1528	0.3687505395076669	0.2860437632291021	0.08270677627856482	1528 PVR Six3 Sox3 Gaba_8	CS20230722_SUPT_0418	1.04	choroid plexus	39.0	-0.08270677627856482
CS20230722_CLUS_1535	0.34472231338594983	0.2620659547945619	0.08265635859138792	1535 PVR Six3 Sox3 Gaba_9	CS20230722_SUPT_0419	0.92	Medial preoptic area	25.0	-0.08265635859138792
CS20230722_CLUS_1665	0.3443772623614114	0.26174020219271454	0.08263706016869687	1665 AHN-SBPV-PVHd Pdrm12 Gaba_4	CS20230722_SUPT_0449	1.86	Anterior hypothalamic nucleus	49.0	-0.08263706016869687
CS20230722_CLUS_1940	0.348575939634653	0.2660003436769596	0.08257559595769337	1940 DMH Hmx2 Gaba_3	CS20230722_SUPT_0489	1.86	Dorsomedial nucleus of the hypothalamus	17.0	-0.08257559595769337
CS20230722_CLUS_1529	0.3497286685904271	0.26727480110133384	0.08245386748909328	1529 PVR Six3 Sox3 Gaba_8	CS20230722_SUPT_0418	1.17	third ventricle	9.0	-0.08245386748909328
CS20230722_CLUS_1524	0.3392787367847245	0.25701674631166216	0.08226199047306232	1524 PVR Six3 Sox3 Gaba_7	CS20230722_SUPT_0417	0.96	stria medullaris	3.0	-0.08226199047306232
CS20230722_CLUS_1537	0.3191880806092013	0.23703999799724024	0.08214808261196105	1537 PVR Six3 Sox3 Gaba_9	CS20230722_SUPT_0419	1.13	Hypothalamus	13.0	-0.08214808261196105
CS20230722_CLUS_1913	0.37205158451367043	0.2899890581898201	0.0820625263238503	1913 PVpo-VMPO-MPN Hmx2 Gaba_5	CS20230722_SUPT_0486	10.11	Periventricular hypothalamic nucleus, preoptic part	30.0	-0.0820625263238503
CS20230722_CLUS_1523	0.34422833649788054	0.26224322125930066	0.08198511523857988	1523 PVR Six3 Sox3 Gaba_6	CS20230722_SUPT_0416	0.52	Lateral septal nucleus, ventral part	20.0	-0.08198511523857988
CS20230722_CLUS_1525	0.3400508971065965	0.2581987634846151	0.08185213362198135	1525 PVR Six3 Sox3 Gaba_7	CS20230722_SUPT_0417	1.44	Hypothalamus	7.0	-0.08185213362198135
CS20230722_CLUS_1693	0.3344432756679765	0.25263689932050387	0.08180637634747262	1693 SBPV-PVa Six6 Satb2 Gaba_2	CS20230722_SUPT_0454	3.76	Paraventricular hypothalamic nucleus	5.0	-0.08180637634747262
CS20230722_CLUS_1667	0.32679047758731644	0.24503662433529302	0.08175385325202342	1667 AHN-SBPV-PVHd Pdrm12 Gaba_4	CS20230722_SUPT_0449	4.26	Anterior hypothalamic nucleus	15.0	-0.08175385325202342
CS20230722_CLUS_1513	0.3294869585067802	0.24785215540751862	0.0816348030992616	1513 PVR Six3 Sox3 Gaba_3	CS20230722_SUPT_0413	1.94	Anterior hypothalamic nucleus	24.0	-0.0816348030992616
CS20230722_CLUS_1960	0.35018316612157413	0.26857724171315667	0.08160592440841746	1960 DMH Hmx2 Gaba_6	CS20230722_SUPT_0492	1.94	Dorsomedial nucleus of the hypothalamus	9.0	-0.08160592440841746
CS20230722_CLUS_1694	0.3443698847841456	0.26279074010104464	0.08157914468310096	1694 SBPV-PVa Six6 Satb2 Gaba_3	CS20230722_SUPT_0455	4.26	Paraventricular hypothalamic nucleus	17.0	-0.08157914468310096
CS20230722_CLUS_1937	0.35729956753263586	0.2757524858393591	0.08154708169327679	1937 DMH Hmx2 Gaba_3	CS20230722_SUPT_0489	3.17	Dorsomedial nucleus of the hypothalamus	14.0	-0.08154708169327679
CS20230722_CLUS_1916	0.34975207769163447	0.26859155593260287	0.0811605217590316	1916 PVpo-VMPO-MPN Hmx2 Gaba_5	CS20230722_SUPT_0486	0.08	Periventricular hypothalamic nucleus, preoptic part	2.0	-0.0811605217590316
CS20230722_CLUS_1707	0.3621565404067915	0.28108236388348257	0.08107417652330895	1707 AHN Onecut3 Gaba_2	CS20230722_SUPT_0457	4.56	Perifornical nucleus	17.0	-0.08107417652330895
CS20230722_CLUS_1701	0.3307577610319892	0.24982134133483416	0.08093641969715501	1701 AHN Onecut3 Gaba_1	CS20230722_SUPT_0456	5.67	Anterior hypothalamic nucleus	14.0	-0.08093641969715501
CS20230722_CLUS_1708	0.3321056589655088	0.251174858063131	0.08093080090237781	1708 AHN Onecut3 Gaba_2	CS20230722_SUPT_0457	4.88	Anterior hypothalamic nucleus	19.0	-0.08093080090237781
CS20230722_CLUS_1948	0.35468696010681083	0.27387637908752904	0.08081058101928179	1948 DMH Hmx2 Gaba_4	CS20230722_SUPT_0490	1.94	Dorsomedial nucleus of the hypothalamus	20.0	-0.08081058101928179
CS20230722_CLUS_0519	0.2875530625508936	0.20677576267355857	0.08077729987733501	0519 OB Meis2 Thsd7b Gaba_1	CS20230722_SUPT_0143	1.56	Main olfactory bulb	617.0	-0.08077729987733501
